date,pollster,sample_size,population,dem_pct,rep_pct,margin,observation_std,partisan,internal,source_url,provider,aggregation_level
2026-04-01,Silver Bulletin maintained average,,likely-voter-adjusted average,49.39,42.92,6.469999999999999,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-02,Silver Bulletin maintained average,,likely-voter-adjusted average,49.39,42.92,6.469999999999999,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-03,Silver Bulletin maintained average,,likely-voter-adjusted average,49.39,42.9,6.490000000000002,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-04,Silver Bulletin maintained average,,likely-voter-adjusted average,49.39,42.9,6.490000000000002,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-05,Silver Bulletin maintained average,,likely-voter-adjusted average,49.39,42.9,6.490000000000002,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-06,Silver Bulletin maintained average,,likely-voter-adjusted average,49.4,42.96,6.439999999999998,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-07,Silver Bulletin maintained average,,likely-voter-adjusted average,49.42,42.97,6.450000000000003,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-08,Silver Bulletin maintained average,,likely-voter-adjusted average,49.42,42.97,6.450000000000003,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-09,Silver Bulletin maintained average,,likely-voter-adjusted average,49.36,43.0,6.359999999999999,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-10,Silver Bulletin maintained average,,likely-voter-adjusted average,49.36,43.0,6.359999999999999,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-11,Silver Bulletin maintained average,,likely-voter-adjusted average,49.36,43.0,6.359999999999999,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-12,Silver Bulletin maintained average,,likely-voter-adjusted average,49.35,42.94,6.410000000000004,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-13,Silver Bulletin maintained average,,likely-voter-adjusted average,49.36,42.94,6.420000000000002,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-14,Silver Bulletin maintained average,,likely-voter-adjusted average,49.37,42.95,6.419999999999995,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-15,Silver Bulletin maintained average,,likely-voter-adjusted average,49.38,42.86,6.520000000000003,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-16,Silver Bulletin maintained average,,likely-voter-adjusted average,49.66,42.78,6.8799999999999955,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-17,Silver Bulletin maintained average,,likely-voter-adjusted average,49.66,42.77,6.8899999999999935,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-18,Silver Bulletin maintained average,,likely-voter-adjusted average,49.68,42.8,6.880000000000003,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-19,Silver Bulletin maintained average,,likely-voter-adjusted average,49.53,42.58,6.950000000000003,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-20,Silver Bulletin maintained average,,likely-voter-adjusted average,49.67,42.73,6.940000000000005,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-21,Silver Bulletin maintained average,,likely-voter-adjusted average,49.67,42.72,6.950000000000003,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-22,Silver Bulletin maintained average,,likely-voter-adjusted average,49.67,42.72,6.950000000000003,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-23,Silver Bulletin maintained average,,likely-voter-adjusted average,49.69,42.78,6.909999999999997,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-24,Silver Bulletin maintained average,,likely-voter-adjusted average,49.68,42.85,6.829999999999998,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-25,Silver Bulletin maintained average,,likely-voter-adjusted average,49.68,42.85,6.829999999999998,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-26,Silver Bulletin maintained average,,likely-voter-adjusted average,49.7,42.85,6.850000000000001,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-27,Silver Bulletin maintained average,,likely-voter-adjusted average,49.57,42.78,6.789999999999999,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-28,Silver Bulletin maintained average,,likely-voter-adjusted average,49.65,42.85,6.799999999999997,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-29,Silver Bulletin maintained average,,likely-voter-adjusted average,49.65,42.85,6.799999999999997,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-04-30,Silver Bulletin maintained average,,likely-voter-adjusted average,49.73,42.84,6.8899999999999935,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-05-01,Silver Bulletin maintained average,,likely-voter-adjusted average,49.73,42.84,6.8899999999999935,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-05-02,Silver Bulletin maintained average,,likely-voter-adjusted average,49.73,42.84,6.8899999999999935,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-05-03,Silver Bulletin maintained average,,likely-voter-adjusted average,49.74,42.84,6.899999999999999,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
2026-05-04,Silver Bulletin maintained average,,likely-voter-adjusted average,49.68,42.85,6.829999999999998,1.5,,False,https://www.natesilver.net/p/nate-silver-2026-midterm-election-polls-model,Silver Bulletin,maintained_average
